[2024-10-08T22:04:41.992+0000] {processor.py:161} INFO - Started process (PID=79) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-10-08T22:04:41.993+0000] {processor.py:830} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-10-08T22:04:41.995+0000] {logging_mixin.py:188} INFO - [2024-10-08T22:04:41.994+0000] {dagbag.py:545} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-10-08T22:04:42.012+0000] {processor.py:840} INFO - DAG(s) 'dataset_produces_2', 'conditional_dataset_and_time_based_timetable', 'consume_1_and_2_with_dataset_expressions', 'dataset_consumes_1', 'consume_1_or_2_with_dataset_expressions', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_consumes_unknown_never_scheduled', 'dataset_consumes_1_and_2', 'dataset_produces_1', 'dataset_consumes_1_never_scheduled' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-10-08T22:04:42.078+0000] {logging_mixin.py:188} INFO - [2024-10-08T22:04:42.078+0000] {dag.py:3089} INFO - Sync 10 DAGs
[2024-10-08T22:04:42.353+0000] {logging_mixin.py:188} INFO - [2024-10-08T22:04:42.352+0000] {dag.py:3947} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-10-02 01:00:00+00:00, run_after=2024-10-02 01:00:00+00:00
[2024-10-08T22:04:42.357+0000] {logging_mixin.py:188} INFO - [2024-10-08T22:04:42.357+0000] {dag.py:3947} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-10-08T22:04:42.359+0000] {logging_mixin.py:188} INFO - [2024-10-08T22:04:42.359+0000] {dag.py:3947} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-10-08T22:04:42.361+0000] {logging_mixin.py:188} INFO - [2024-10-08T22:04:42.361+0000] {dag.py:3947} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-10-08T22:04:42.363+0000] {logging_mixin.py:188} INFO - [2024-10-08T22:04:42.363+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-10-08T22:04:42.365+0000] {logging_mixin.py:188} INFO - [2024-10-08T22:04:42.365+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-10-08T22:04:42.367+0000] {logging_mixin.py:188} INFO - [2024-10-08T22:04:42.367+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-10-08T22:04:42.369+0000] {logging_mixin.py:188} INFO - [2024-10-08T22:04:42.369+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-10-08T22:04:42.373+0000] {logging_mixin.py:188} INFO - [2024-10-08T22:04:42.372+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_produces_1 to 2024-10-07 00:00:00+00:00, run_after=2024-10-08 00:00:00+00:00
[2024-10-08T22:04:42.375+0000] {logging_mixin.py:188} INFO - [2024-10-08T22:04:42.374+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-10-08T22:04:42.437+0000] {processor.py:183} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.452 seconds
