[2024-10-16T23:18:32.102+0000] {processor.py:161} INFO - Started process (PID=98) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-10-16T23:18:32.102+0000] {processor.py:830} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-10-16T23:18:32.104+0000] {logging_mixin.py:188} INFO - [2024-10-16T23:18:32.104+0000] {dagbag.py:545} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-10-16T23:18:32.127+0000] {processor.py:840} INFO - DAG(s) 'dataset_consumes_1_and_2', 'consume_1_or_2_with_dataset_expressions', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_consumes_1', 'dataset_consumes_1_never_scheduled', 'consume_1_and_2_with_dataset_expressions', 'conditional_dataset_and_time_based_timetable', 'dataset_produces_2', 'dataset_consumes_unknown_never_scheduled', 'dataset_produces_1' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-10-16T23:18:32.189+0000] {logging_mixin.py:188} INFO - [2024-10-16T23:18:32.189+0000] {dag.py:3089} INFO - Sync 10 DAGs
[2024-10-16T23:18:32.502+0000] {logging_mixin.py:188} INFO - [2024-10-16T23:18:32.501+0000] {dag.py:3947} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-10-16 01:00:00+00:00, run_after=2024-10-16 01:00:00+00:00
[2024-10-16T23:18:32.508+0000] {logging_mixin.py:188} INFO - [2024-10-16T23:18:32.507+0000] {dag.py:3947} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-10-16T23:18:32.510+0000] {logging_mixin.py:188} INFO - [2024-10-16T23:18:32.510+0000] {dag.py:3947} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-10-16T23:18:32.512+0000] {logging_mixin.py:188} INFO - [2024-10-16T23:18:32.512+0000] {dag.py:3947} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-10-16T23:18:32.514+0000] {logging_mixin.py:188} INFO - [2024-10-16T23:18:32.514+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-10-16T23:18:32.517+0000] {logging_mixin.py:188} INFO - [2024-10-16T23:18:32.516+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-10-16T23:18:32.519+0000] {logging_mixin.py:188} INFO - [2024-10-16T23:18:32.519+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-10-16T23:18:32.521+0000] {logging_mixin.py:188} INFO - [2024-10-16T23:18:32.521+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-10-16T23:18:32.525+0000] {logging_mixin.py:188} INFO - [2024-10-16T23:18:32.525+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_produces_1 to 2024-10-15 00:00:00+00:00, run_after=2024-10-16 00:00:00+00:00
[2024-10-16T23:18:32.527+0000] {logging_mixin.py:188} INFO - [2024-10-16T23:18:32.527+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-10-16T23:18:32.591+0000] {processor.py:183} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.495 seconds
